,"[1, 4, 16, 64, 256]","[1, 4, 16, 64]","[1, 4, 16]","[1, 4]",[1]
.TAU_application,0.0,0.0,0.0,0.0,0.0
ADD,0.0,0.0,0.0,0.0,0.0
ADI,0.0,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0,0.0
BTIO_CLEANUP,0.0,0.0,0.0,0.0,0.0
COMPUTE_BUFFER_SIZE,0.0,0.0,0.0,0.0,0.0
COMPUTE_RHS,0.0,0.0,0.0,0.0,0.0
COPY_FACES,0.0,0.0,0.0,0.0,0.0
ERROR_NORM,0.0,0.0,0.0,0.0,0.0
EXACT_RHS,0.0,0.0,0.0,0.0,0.0
EXACT_SOLUTION,1.1963655654798242,0.5067383391767165,0.15321619844296594,3.283081303742889e-14,0.0
INITIALIZE,0.0,0.0,0.0,0.0,0.0
LHSABINIT,1.8853538593966173e-14,1.4140153945474631e-14,1.508283087517294e-13,0.0,0.0
LHSINIT,0.0,0.0,0.0,0.0,0.0
MAKE_SET,0.0,0.0,0.0,0.0,0.0
MPBT,0.0,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_dup(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0,0.0,0.0
RHS_NORM,0.0,0.0,0.0,0.0,0.0
SETUP_BTIO,0.0,0.0,0.0,0.0,0.0
SETUP_MPI,0.0,0.0,0.0,0.0,0.0
SET_CLASS,4.218847493575595e-14,5.551115123125783e-15,3.3306690738754696e-14,0.0,0.0
SET_CONSTANTS,0.0,0.0,0.0,0.0,0.0
VERIFY,0.0,0.0,0.0,0.0,0.0
X_BACKSUBSTITUTE,3.110833868004419e-14,3.535038486368658e-14,3.770707718793235e-14,0.0,0.0
X_SOLVE,0.0,0.0,0.0,0.0,0.0
X_SOLVE_CELL,3.110833868004419e-14,3.535038486368658e-14,3.770707718793235e-14,0.0,0.0
Y_BACKSUBSTITUTE,3.110833868004419e-14,3.535038486368658e-14,3.770707718793235e-14,0.0,0.0
Y_SOLVE,0.0,0.0,0.0,0.0,0.0
Y_SOLVE_CELL,3.110833868004419e-14,3.535038486368658e-14,3.770707718793235e-14,0.0,0.0
Z_BACKSUBSTITUTE,3.110833868004419e-14,3.535038486368658e-14,3.770707718793235e-14,0.0,0.0
Z_SOLVE,0.0,0.0,0.0,0.0,0.0
Z_SOLVE_CELL,3.110833868004419e-14,3.535038486368658e-14,3.770707718793235e-14,0.0,0.0
